Article,Quantite,"Prix Unitaire Achat","Prix Total Achat"
"ED Ketch up",768,5500,4224000
Sucre,61,2250,137250
"Boni galette au beurre",63,8500,535500
"Teisserre framboise 5l",48,13000,624000
"ED Moutarde",60,4000,240000
"ED Sauce spaghetti",36,4500,162000
"ED Sauce bolognaise",12,14500,174000
"Belle France ketch up",36,5500,198000
"ED Champignon paris",97,3500,339500
"ED Huile pr friture 2l",18,15500,279000
"ED Huile de mais 2l",30,15500,465000
"ED Huile de tournesol",6,16500,99000
"Belle France 1l huile pr friture",60,9000,540000
"ED Corneflakes750g",2,7500,15000
"ED Spirelli 500g",41,2700,110700
"ED Saucisse vienoise 400g",24,4000,96000
"Belle France sardine a l huile",32,5500,176000
"Belle France sardine a la tomate",32,6000,192000
"ED Filet de maqueron",12,5500,66000
"ED Elducorant de table",12,6000,72000
"Boni chips sel 160g",14,6000,84000
"RS Whole green olive",12,5500,66000
"ED Mais doux 330g",24,4000,96000
"ED tomate corcasse",24,4000,96000
"ED Vinaigre",6,5000,30000
"Mr propre au citron 2l",8,18000,144000
"ED Creme a recurer 750ml",12,4000,48000
"Tropist rochet",18,8000,144000
"Boni handwash 500ml",16,5000,80000
"Quaker OATS 100g",11,18000,198000
"Belle France gouters vanille",12,8000,96000
"Barilla forfane 500g",25,,
"Abornesi 250g",72,11500,828000
"Boni poppordelle 500g",50,9000,450000
"L Etoile vineigre de vin blanc",6,,
"Boni morceaux de sucre 250g",12,7000,84000
"Belle France petales de mais 375g",6,13500,81000
"Rice krispies 375g",14,20000,280000
"cellier d or rouge",264,23500,6204000
"Gd sud moelleux 1l",60,30000,1800000
"Baron d arignac brut mousseux",36,29000,1044000
"Chile cab sauv",84,39000,3276000
"Gin sparkling",48,19000,912000
Molotoff,12,18500,222000
"Baron pt",90,8500,765000
"waragi pt",180,5500,990000
"Sherry liquor",7,4500,31500
"Nectar champagne",24,190000,4560000
"Veuve cliquot",6,190000,1140000
"Fiole du pape",24,130000,3120000
"Baron 1,5l",66,35000,2310000
"Drostdy 75cl merlot",10,23500,235000
"Château tourrens",6,30000,180000
"Kid bull champagne enfant",6,15000,90000
Brunetto,30,40500,1215000
"Baron d arignac 75cl",72,18500,1332000
"Baron d arignac cab sauv",43,24500,1053500
"Baron 75cl blanc",24,18500,444000
"J P Chenet syrah",6,30500,183000
"J P Chenet grenade 25cl",24,11500,276000
"Gewrt caminer laugel",30,50000,1500000
"Chivas 18 ans",6,320000,1920000
"Black label 1l",12,85000,1020000
"Dunhill international",10,8000,80000
"Malboro blanc",10,8000,80000
"Amarula pt",24,16500,396000
"Double black",12,125000,1500000
"Red label",12,45000,540000
"Zilicken trocken rose",4,42000,168000
Finlandia,3,42500,127500
Baileys,2,82500,165000
"Capitaine morgan",1,67500,67500
Sanderman,5,70000,350000
"Absolut vodka",2,47500,95000
"Amarula 1l",5,47500,237500
"Château gillet",60,52500,3150000
Sancerre,12,95000,1140000
"St estephe",12,9500,114000
