Article,IN,OUT,PU,CASH,Quantite,PrixUnitaireAchat,PrixTotalAchat
Cooki_3L,0,5,72200,361000,75,72200,5415000
Cooki_50ml,0,50,3859,192950,579,3850,2229150
Cooki_5L,0,10,73200,732000,13,73200,951600
Guest_soap,0,10,27750,277500,139,27550,3829450
Mayonaise_500_gr,0,15,0,0,8,34000,272000
New_familial_deo,0,3,28950,86850,23,28950,665850
New_familial_blanc,0,2,28950,57900,53,28950,1534350
New_muganga_baby,0,15,24650,369750,70,24650,1725500
Star_blanc,0,20,8250,165000,116,8250,957000
Star_fresh_5l,0,30,11200,336000,247,11200,2766400
"Gold star",0,575,9200,5290000,2841,9200,26137200
Savonor_no_1_blanc_48pc,0,35,28100,983500,114,28100,3203400
"Palmola 1l",0,40,17811,712440,83,17800,1477400
Cooki_10L_bidon,0,50,29200,1460000,237,29200,6920400
Omo_5_kg,0,20,16600,332000,48,16600,796800
Super_gold,0,180,8580,1544400,354,8600,3044400
Orissa,0,43,23850,1025550,101,23850,2408850
Cooki_20L,0,50,55907,2795350,332,55900,18558800
Mini_star,0,100,5500,550000,1413,5500,7771500
Star_fresh_1l,0,5,10750,53750,146,10750,1569500
New_gold_star,0,10,17700,177000,744,17700,13168800
Tourne_Sol_5L,0,20,18801,376020,148,18800,2782400
Utamu_10L_seaux,0,20,29650,593000,106,29650,3142900
Mayonnaise_350_gr,0,25,0,0,7,25200,176400
Multi_Usage_5L,0,20,11727,234540,19,11700,222300
